date,country,title,label,views,description,attributes,assigned label
2023-02-06,Argentina,Caso_de_Nahir_Galarza,Case Nahir Galarza,3840,murder in Argentina,homicidio doloso,politics
2023-02-06,Argentina,Buenos_Aires,Buenos Aires,1699,capital and largest city of Argentina,ciudad de Argentina,science
2023-02-06,Argentina,Terremoto_de_Valdivia_de_1960,1960 Valdivia earthquake,829,9.4–9.6 magnitude earthquake in Chile,terremoto,science
2023-02-06,Argentina,Club_Atlético_Banfield,Club Atlético Banfield,718,Argentine sports club,club deportivo,sports
2023-02-06,Argentina,Google_Maps,No label found,650,Google's web mapping service (launched 2005),sitio web,science
2023-02-06,Argentina,Copa_Libertadores_de_América,Copa Libertadores,598,South American association football tournament for clubs,competición futbolística,sports
2023-02-06,Argentina,Club_Atlético_River_Plate,Club Atlético River Plate,554,Argentine professional sports club based in Buenos Aires,club deportivo,sports
2023-02-06,Argentina,Multijugador,multiplayer video game,547,video game where multiple players can play together,modo de juego,sports
2023-02-06,Argentina,Idioma_inglés,English,500,West Germanic language,lengua natural,culture
2023-02-06,Argentina,Acuario_(astrología),Aquarius,483,eleventh astrological sign in the present zodiac,signo zodiacal occidental,sports
2023-02-06,Argentina,Reforma_Universitaria_de_1918,Argentine university reform of 1918,447,general modernization of the universities tending towards democratization brought about by student activism,reforma,education
2023-02-06,Argentina,Mendoza_(Argentina),Mendoza,419,"city in Mendoza Province, Argentina",ciudad de Argentina,science
2023-02-06,Argentina,Derbi_de_Milán,Derby della Madonnina,413,"Club football rivalry match between the two clubs of the city of Milan, Inter and AC Milan",clásico (fútbol),sports
2023-02-06,Argentina,Corte_de_casación,court of cassation,410,a high instance court that exists in some judicial systems,Q3128539,politics
2023-02-06,Argentina,Cordyceps,Cordyceps,403,genus of fungi,taxón,science
2023-02-06,Argentina,Otorrinolaringología,otolaryngology,374,"surgical subspeciality concerned with ear, nose, and throat conditions",especialidad médica,science
2023-02-06,Argentina,Terremoto_de_Chile_de_2010,2010 Chile earthquake,365,magnitude 8.8 earthquake in Chile on 27 February 2010,terremoto,science
2023-02-06,Argentina,Ushuaia,Ushuaia,351,capital of Tierra del Fuego in Argentina,ciudad,sports
2023-02-06,Argentina,Los_Simpson,The Simpsons,349,American animated sitcom created by Matt Groening,serie de televisión de animación,movies
2023-02-06,Argentina,Anime,anime,337,Japanese style of animation,género cinematográfico,movies
2023-02-06,Bolivia,Himno_nacional_de_Bolivia,National Anthem of Bolivia,1921,national anthem,himno nacional,culture
2023-02-06,Bolivia,YouTube,YouTube,824,American video-sharing platform owned by Alphabet Inc.,servicio streaming de video,movies
2023-02-06,Bolivia,Tabla_periódica_de_los_elementos,periodic table,794,table systematically placing elements based on atomic number and recurrent properties,clasificacion química,science
2023-02-06,Bolivia,Segunda_Guerra_Mundial,World War II,483,1939–1945 global conflict,guerra mundial,politics
2023-02-06,Bolivia,Química,chemistry,471,"branch of physical science concerned with the composition, structure and properties of matter",rama de la ciencia,science
2023-02-06,Bolivia,Presidente_de_Bolivia,president of Bolivia,447,public elective office; head of state and head of government of Bolivia,cargo elegido,politics
2023-02-06,Bolivia,Descubrimiento_de_América,first arrival of Christopher Columbus to America,418,arrival of Christopher Columbus and crew to America,Q778483,science
2023-02-06,Bolivia,Música,music,342,art using sound,tipo de arte,culture
2023-02-06,Bolivia,Leyes_de_Newton,Newton's laws of motion,257,classical formulation of Mechanics by Isaac Newton,tríada,science
2023-02-06,Bolivia,Club_Independiente_Petrolero,Club Independiente Petrolero,229,football club,club de fútbol,sports
2023-02-06,Bolivia,Arroba_(símbolo),@,213,"at sign, typographic symbol used as an abbreviation, traditionally in commerce for an old measurement unit or for unitary prices, or more recently in email addresses or to indicate a location",carácter,sports
2023-02-06,Bolivia,Célula_procariota,prokaryotic cell,179,"unicellular organism that lacks a membrane-bound nucleus (karyon), mitochondria, or any other membrane-bound organelle",tipo de célula,culture
2023-02-06,Bolivia,Número_natural,natural number,173,"ambiguous mathematical term used either for non-negative or for strictly positive integers, depending on usage",Q77358734,science
2023-02-06,Bolivia,Zodiaco,zodiac,172,twelve signs representing sectors of sky,conjunto,culture
2023-02-06,Bolivia,Cosmovisión,world view,169,fundamental cognitive orientation of an individual or society encompassing the entirety of the individual or society's knowledge and point of view,concepto,culture
2023-02-06,Bolivia,Psicología,psychology,156,study of mental functions and behaviours,disciplina académica,science
2023-02-06,Bolivia,Constitución_de_Bolivia_de_2009,Constitution of the Plurinational State of Bolivia,149,supreme law of Bolivia,constitución,politics
2023-02-06,Bolivia,G,G/g,137,7th letter of the basic Latin alphabet,letra latina,science
2023-02-06,Bolivia,Aparato_digestivo,human digestive system,124,digestive system in humans,clase de entidad anatómica,science
2023-02-06,Bolivia,Núcleo_celular,nucleus,107,membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated,componente celular,culture
2023-02-06,Brazil,Asesinato_de_Fernando_Báez_Sosa,murder of Fernando Báez Sosa,1170,Criminal case in Argentina,caso criminal,science
2023-02-06,Canada,Caracol_Internacional,Caracol Internacional,381,television channel,canal de televisión temático,politics
2023-02-06,Chile,Turquía,Turkey,4607,country in West Asia and Southeast Europe,estado soberano,science
2023-02-06,Chile,Locanto,Locanto,2166,worldwide online classifieds network,negocio,science
2023-02-06,Chile,Club_Universidad_de_Chile,Club Universidad de Chile,759,"football club based in Santiago, Chile",club de fútbol,sports
2023-02-06,Chile,The_Last_Of_Us_(serie_de_televisión),The Last of Us,650,2023 American TV series based on the video game The Last of Us,serie de televisión,movies
2023-02-06,Chile,OnlyFans,OnlyFans,647,British social media and content distribution platform,servicio de suscripción de contenido para adultos,culture
2023-02-06,Chile,Estados_Unidos,United States,628,country located primarily in North America,estado soberano,culture
2023-02-06,Chile,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,555,European association football tournament,copa internacional de clubes de fútbol,sports
2023-02-06,Chile,Terremoto_Nurdağı,2023 Turkey–Syria earthquakes,552,"The earthquake that caused destruction in Türkiye and Syria on February 6, 2023",secuencia de terremotos,sports
2023-02-06,Chile,Rayo_Vallecano_de_Madrid,Rayo Vallecano,497,Spanish football team,club de fútbol,sports
2023-02-06,Chile,Equipo_de_Copa_Davis_de_Chile,Chile Davis Cup team,465,national sports team,Equipo de Copa Davis,sports
2023-02-06,Chile,Associazione_Calcio_Monza,AC Monza,452,association football club,club de fútbol,sports
2023-02-06,Chile,Real_Madrid_Club_de_Fútbol,Real Madrid Club de Fútbol,395,"association football club in Madrid, Spain",club de fútbol,sports
2023-02-06,Chile,Dedos_del_pie,toe,384,digit of a foot,clase de entidad anatómica,sports
2023-02-06,Chile,Región_del_Biobío,Biobío Region,377,administrative division of Chile,región de Chile,politics
2023-02-06,Chile,Punta_Lavapié,Punta Lavapié,357,village in Chile,aldea de Chile,culture
2023-02-06,Chile,Temucuicui,Temucuicui,315,Mapuche indigenous community,pueblo,culture
2023-02-06,Chile,Axé_Bahía,Axé Bahia,303,Brazilian Eurodance group,agrupación musical,culture
2023-02-06,Chile,Talca,Talca,297,city in Chile,ciudad de Chile,culture
2023-02-06,Chile,Mekano,Mekano,286,Chilean TV program,programa de televisión,culture
2023-02-06,Chile,Hedonismo,hedonism,281,philosophy of pleasure as the highest value,cosmovisión,culture
2023-02-06,Colombia,Rayo_Vallecano_de_Madrid,Rayo Vallecano,2402,Spanish football team,club de fútbol,sports
2023-02-06,Colombia,Società_Sportiva_Lazio,SS Lazio,2088,"football section of the sports club based in Rome, Lazio, Italy",club de fútbol,sports
2023-02-06,Colombia,Día_de_San_Valentin,Valentine's Day,1628,holiday observed on February 14 to celebrate love and friendship,día festivo,culture
2023-02-06,Colombia,Carnaval_de_Barranquilla,Barranquilla's Carnival,1382,Colombian folklore festival,carnaval,culture
2023-02-06,Colombia,Política,politics,1285,activities associated with group decisions,disciplina académica,culture
2023-02-06,Colombia,Tecnología,technology,1270,"making, modification, usage, and knowledge of tools, machines, techniques, crafts, systems, and methods of organization, or tools and techniques so created",disciplina académica,education
2023-02-06,Colombia,Deportes_Tolima,Deportes Tolima,1266,Colombian soccer sports club,club de fútbol,sports
2023-02-06,Colombia,Atlético_Bucaramanga,Atlético Bucaramanga,1059,Colombian football club,club de fútbol,sports
2023-02-06,Colombia,Tragedia_de_Armero,Armero tragedy,1020,November 1985 volcanic eruption in Colombia,erupción volcánica,sports
2023-02-06,Colombia,Célula_procariota,prokaryotic cell,1011,"unicellular organism that lacks a membrane-bound nucleus (karyon), mitochondria, or any other membrane-bound organelle",tipo de célula,culture
2023-02-06,Colombia,Al-Nassr_Football_Club,Al-Nassr,890,Saudi Arabian association football club,club de fútbol,sports
2023-02-06,Colombia,Outlook_(correo_web),Outlook.com,805,Microsoft free web-based email service,webmail,science
2023-02-06,Colombia,La_ballena_(película_de_2022),The Whale,780,2022 film directed by Darren Aronofsky,película,movies
2023-02-06,Colombia,65.ª_edición_de_los_Premios_Grammy,65th Annual Grammy Awards,779,2023 edition of award ceremony,ceremonia de premiación,sports
2023-02-06,Colombia,Regalecus_glesne,giant oarfish,711,species of oarfish living in oceans,taxón,sports
2023-02-06,Colombia,Cultura_maya,Maya civilization,697,Mesoamerican former civilization,estado desaparecido,culture
2023-02-06,Colombia,Historia_de_la_tecnología,history of technology,689,history of the invention of tools and techniques,aspecto de la historia,science
2023-02-06,Colombia,Sustantivo,noun,686,word that functions as the name of a specific object or set of objects,categoría morfosintáctica,science
2023-02-06,Colombia,Educación_física,physical education,674,educational course related to the physique of the human body,término genérico,education
2023-02-06,Colombia,Historia_de_la_física,history of physics,641,aspect of history,rama de la ciencia,culture
2023-02-06,Costa Rica,Costa_Rica,Costa Rica,133,country in Central America,estado soberano,sports
2023-02-06,Dominican Republic,Turquía,Turkey,2707,country in West Asia and Southeast Europe,estado soberano,science
2023-02-06,Dominican Republic,Estados_Unidos,United States,250,country located primarily in North America,estado soberano,culture
2023-02-06,Dominican Republic,Geografía_de_la_República_Dominicana,geography of the Dominican Republic,225,Set of physical characteristics of the Dominican Republic.,geografía de una localización geográfica,sports
2023-02-06,Dominican Republic,Hermanas_Mirabal,Mirabal sisters,171,sisters murdered by the Dominican dictator Rafael Trujillo,grupo de hermanas,politics
2023-02-06,Dominican Republic,Guerra_hispano-estadounidense,Spanish–American War,164,1898 conflict between Spain and the United States,guerra,politics
2023-02-06,Dominican Republic,Célula,cell,164,basic structural and functional unit of all organisms,tipo de clase de estructura anatómica,science
2023-02-06,Dominican Republic,Economía_de_la_República_Dominicana,economy of the Dominican Republic,135,Overview of the economy of Dominican Republic,economía nacional,science
2023-02-06,Dominican Republic,Autoestima,self-esteem,124,term used in psychology to reflect a person's overall emotional evaluation of their own worth,término en psicología,science
2023-02-06,Dominican Republic,Enfermedad_hereditaria,hereditary disorder,120,type of disorder,enfermedad (clase),politics
2023-02-06,Dominican Republic,Mapa,map,116,"publication type or genre, visual representation of a concept space",tipo de mapa,culture
2023-02-06,Dominican Republic,Aparato_circulatorio,circulatory system,115,"three independent systems that work together: cardiovascular, pulmonary and systemic",Q104027169,science
2023-02-06,Dominican Republic,Sociedad,society,113,group of people connected to each other,concepto,culture
2023-02-06,Dominican Republic,Reproducción,reproduction,110,production of new individuals that contain some portion of genetic material inherited from one or more parent organisms,proceso biológico,science
2023-02-06,Dominican Republic,Folclore,folklore,109,"cultural expressions of a particular group of people, manifested in verbal form (proverbs, jokes, legends, songs), material form (objects of art), customs (beliefs and ways of doing things)",género,culture
2023-02-06,Dominican Republic,Diccionario,dictionary,101,"work that provides word information such as spelling, definition, gender, pronunciation, etymology, etc., where the information provided depends on the kind of dictionary",forma literaria,sports
2023-02-06,Dominican Republic,Enfermedad,disease,99,abnormal condition negatively affecting organisms,enfermedad (clase),science
2023-02-06,Dominican Republic,Género_no_binario,non-binary,99,gender identity that exists outside of the gender binary,identidad de género,science
2023-02-06,Dominican Republic,Internet,Internet,99,global system of connected computer networks based on IP addressing and routing protocols,red IP,culture
2023-02-06,Dominican Republic,Lengua_(lingüística),language,96,"particular system of communication, often named for the region or peoples that use it",Q28923954,culture
2023-02-06,Dominican Republic,Número_natural,natural number,96,"ambiguous mathematical term used either for non-negative or for strictly positive integers, depending on usage",Q77358734,science
2023-02-06,Ecuador,Alcalde_de_Guayaquil,Mayor of Guayaquil,2032,No description found,cargo,science
2023-02-06,Ecuador,Puerto_López_(Ecuador),Puerto López,638,village in Ecuador,ciudad,culture
2023-02-06,Ecuador,Provincia_de_Guayas,Guayas Province,627,coastal province in Ecuador,provincia de Ecuador,sports
2023-02-06,Ecuador,Sistema_solar,Solar System,568,"the Sun, its planets and their moons",sistema planetario,science
2023-02-06,Ecuador,Quito,Quito,547,capital of Ecuador,ciudad,science
2023-02-06,Ecuador,Guayaquil,Guayaquil,535,city of Ecuador,ciudad,science
2023-02-06,Ecuador,OnlyFans,OnlyFans,516,British social media and content distribution platform,servicio de suscripción de contenido para adultos,culture
2023-02-06,Ecuador,Dinosauria,dinosaur,491,clade of archosaurian reptiles (Archosauria),taxón,culture
2023-02-06,Ecuador,Elecciones_provinciales_de_Pichincha_de_2023,No label found,454,No description found,elección,science
2023-02-06,Ecuador,Liga_Deportiva_Universitaria_de_Quito,Liga Deportiva Universitaria de Quito,425,Ecuadorian professional football club,club de fútbol,sports
2023-02-06,Ecuador,Región_Amazónica_(Ecuador),Oriente,364,the Amazon region of Ecuador,región geográfica,sports
2023-02-06,Ecuador,Elecciones_municipales_de_Guayaquil_de_2019,No label found,289,No description found,elección,science
2023-02-06,Ecuador,Elecciones_municipales_de_Loja_de_2019,No label found,256,No description found,elección,science
2023-02-06,Ecuador,A,A/a,253,1st letter of the basic Latin alphabet,letra latina,sports
2023-02-06,Ecuador,Música_de_Ecuador,music of Ecuador,243,music and musical traditions of Ecuador,música en una región geográfica,culture
2023-02-06,Ecuador,El_Gato_con_Botas,Puss in Boots,229,fairy tale with multiple variants (ATU 545B),cuento de hadas popular,culture
2023-02-06,Ecuador,Voleibol,volleyball,227,team sport,tipo de deporte,sports
2023-02-06,Ecuador,Cultura_de_Ecuador,culture of Ecuador,226,pattern of human activity and symbolism associated with Ecuador and its people,cultura de un área,culture
2023-02-06,Ecuador,Hellas_Verona_Football_Club,Hellas Verona FC,223,"Italian football club based in Verona, Veneto",club de fútbol,sports
2023-02-06,Ecuador,Provincia_de_Cañar,Cañar Province,217,province of Ecuador,provincia de Ecuador,science
2023-02-06,El Salvador,Terremoto_de_San_Salvador_de_1986,1986 San Salvador earthquake,176,Major Earthquake of El Salvador,terremoto,sports
2023-02-06,Guatemala,Asesinato_de_Fernando_Báez_Sosa,murder of Fernando Báez Sosa,481,Criminal case in Argentina,caso criminal,science
2023-02-06,Guatemala,Atletismo,athletics,217,"sports involving running, jumping, throwing and walking",tipo de deporte,sports
2023-02-06,Guatemala,Ciencias_naturales,natural science,195,branch of science about the natural world,rama de la ciencia,science
2023-02-06,Guatemala,Filosofía,philosophy,192,"study of the truths and principles of being, schools of thought, knowledge, or conduct",disciplina académica,science
2023-02-06,Guatemala,Software,software,185,non-tangible executable component of a computer,categoría de productos,science
2023-02-06,Guatemala,Psicología,psychology,184,study of mental functions and behaviours,disciplina académica,science
2023-02-06,Guatemala,The_Last_of_Us,The Last of Us,152,2013 action-adventure video game developed by Naughty Dog,videojuego,sports
2023-02-06,Guatemala,Al-Nassr_Football_Club,Al-Nassr,134,Saudi Arabian association football club,club de fútbol,sports
2023-02-06,Guatemala,Partidos_políticos_de_Guatemala,list of political parties in Guatemala,127,Wikimedia list article,artículo de lista de Wikimedia,science
2023-02-06,Guatemala,Futura_Copa_Mundial_de_Clubes_de_la_FIFA,2025 FIFA Club World Cup,123,21st edition of the FIFA Club World Cup,temporada,sports
2023-02-06,Guatemala,Economía_de_Guatemala,economy of Guatemala,117,economy of the country,economía nacional,politics
2023-02-06,Guatemala,Arqueología,archaeology,115,study of the past via material culture,disciplina académica,culture
2023-02-06,Guatemala,Siria,Syria,105,country in West Asia,país,science
2023-02-06,Guatemala,Período_preclásico_mesoamericano,Mesoamerican Preclassic period,100,historical period of Mesoamerica between 1200-400 BC.,período histórico,culture
2023-02-06,Guatemala,Idioma_español,Spanish,97,Romance language originating in the Iberian Peninsula,lengua natural,culture
2023-02-06,Italy,Turquía,Turkey,200,country in West Asia and Southeast Europe,estado soberano,science
2023-02-06,Mexico,OnlyFans,OnlyFans,4264,British social media and content distribution platform,servicio de suscripción de contenido para adultos,culture
2023-02-06,Mexico,Serie_del_Caribe_2023,2023 Caribbean Series,4112,2023 baseball tournament held in Venezuela,Q56829666,sports
2023-02-06,Mexico,Cultura_maya,Maya civilization,1670,Mesoamerican former civilization,estado desaparecido,culture
2023-02-06,Mexico,Ant-Man_and_the_Wasp:_Quantumania,Ant-Man and the Wasp: Quantumania,1666,2023 film directed by Peyton Reed,película,movies
2023-02-06,Mexico,Megan_(película),M3GAN,1664,2022 film directed by Gerard Johnstone,película,movies
2023-02-06,Mexico,5_de_febrero,February 5,1484,day of the year,determinador para fecha de ocurrencia periódica,sports
2023-02-06,Mexico,Sporting_de_Lisboa,Sporting CP,1400,Portuguese sports club,club de fútbol,sports
2023-02-06,Mexico,Siria,Syria,1382,country in West Asia,país,science
2023-02-06,Mexico,Club_de_Fútbol_Monterrey,Club de Fútbol Monterrey,1246,Mexican association football club,club de fútbol,sports
2023-02-06,Mexico,Avatar:_The_Way_of_Water,Avatar: The Way of Water,1241,2022 film by James Cameron,película,movies
2023-02-06,Mexico,Felis_silvestris_catus,cat,1205,small domesticated carnivorous mammal,clase de organismos conocidos por un nombre común particular,sports
2023-02-06,Mexico,Babylon_(película_de_2022),Babylon,1200,2022 film directed by Damien Chazelle,película,movies
2023-02-06,Mexico,Namor,Namor,1183,fictional character in Marvel Comics,híbrido de ficción,movies
2023-02-06,Mexico,Kimetsu_no_Yaiba,Demon Slayer: Kimetsu no Yaiba,1074,Japanese manga series,serie de manga,culture
2023-02-06,Mexico,Constitución,constitution,1038,set of fundamental principles or established precedents according to which a state or other organization is governed,tipo de ley,politics
2023-02-06,Mexico,Wakanda,Wakanda,981,fictional country from Marvel Comics,país ficticio,movies
2023-02-06,Mexico,Procrastinación,procrastination,905,habitual or intentional delay of starting or finishing a task despite knowing potential negative consequences,comportamiento,culture
2023-02-06,Mexico,Ambystoma_mexicanum,axolotl,890,species of salamander,taxón,sports
2023-02-06,Mexico,Falla_de_San_Andrés,San Andreas Fault,841,geological fault,Falla transformante,science
2023-02-06,Mexico,Ecología,ecology,822,scientific study of the relationships between living organisms,disciplina académica,science
2023-02-06,Panama,Turquía,Turkey,293,country in West Asia and Southeast Europe,estado soberano,science
2023-02-06,Panama,Terremoto_Nurdağı,2023 Turkey–Syria earthquakes,95,"The earthquake that caused destruction in Türkiye and Syria on February 6, 2023",secuencia de terremotos,sports
2023-02-06,Paraguay,Asesinato_de_Fernando_Báez_Sosa,murder of Fernando Báez Sosa,2687,Criminal case in Argentina,caso criminal,science
2023-02-06,Paraguay,Torneo_Apertura_2023_(Paraguay),2023 Paraguayan Primera División season,139,Paraguayan Primera División season,temporada,sports
2023-02-06,Peru,Terremoto_del_Perú_de_2007,2007 Peru earthquake,1875,Earthquake in Peru in August 2007,terremoto,science
2023-02-06,Peru,Sporting_de_Lisboa,Sporting CP,1799,Portuguese sports club,club de fútbol,sports
2023-02-06,Peru,G,G/g,1018,7th letter of the basic Latin alphabet,letra latina,science
2023-02-06,Peru,Rayo_Vallecano_de_Madrid,Rayo Vallecano,963,Spanish football team,club de fútbol,sports
2023-02-06,Peru,Futura_Copa_Mundial_de_Clubes_de_la_FIFA,2025 FIFA Club World Cup,705,21st edition of the FIFA Club World Cup,temporada,sports
2023-02-06,Peru,Lima,Lima,636,capital and largest city of Peru,ciudad,science
2023-02-06,Peru,Instagram,Instagram,616,photo and video sharing social network owned by Meta Platforms,servicio de red social,culture
2023-02-06,Peru,Terremoto_de_Valdivia_de_1960,1960 Valdivia earthquake,595,9.4–9.6 magnitude earthquake in Chile,terremoto,science
2023-02-06,Peru,Canal_2_(El_Salvador),Channel 2 (El Salvador),535,Salvadoran TV Channel,canal de televisión,culture
2023-02-06,Peru,65.ª_edición_de_los_Premios_Grammy,65th Annual Grammy Awards,460,2023 edition of award ceremony,ceremonia de premiación,sports
2023-02-06,Peru,Monza,Monza,457,Italian comune,chef-lieu,politics
2023-02-06,Peru,Copa_Libertadores_2023,2023 Copa Libertadores,444,64th Copa Libertadores edition,temporada,sports
2023-02-06,Peru,2023,2023,400,calendar year,año natural,culture
2023-02-06,Peru,Género_no_binario,non-binary,302,gender identity that exists outside of the gender binary,identidad de género,science
2023-02-06,Peru,Edición_de_libros,publishing,290,"process of production and dissemination of literature, music, or information",industria,culture
2023-02-06,Peru,Resiliencia_(psicología),psychological resilience,270,"ability to cope with a life crisis, adapt in the face of stressors, or to adjust and return to pre-crisis status",competencia para la vida,politics
2023-02-06,Peru,Tottenham_Hotspur_Football_Club,Tottenham Hotspur F.C.,263,"association football club in London, England",club de fútbol,sports
2023-02-06,Peru,The_Last_Of_Us_(serie_de_televisión),The Last of Us,259,2023 American TV series based on the video game The Last of Us,serie de televisión,movies
2023-02-06,Peru,Liverpool_Football_Club,Liverpool F.C.,253,"association football club in Liverpool, England",club de fútbol,sports
2023-02-06,Peru,Hydrochoerus_hydrochaeris,capybara,241,species of large semiaquatic rodent in the cavy family,taxón,sports
2023-02-06,Puerto Rico,Serie_del_Caribe_2023,2023 Caribbean Series,516,2023 baseball tournament held in Venezuela,Q56829666,sports
2023-02-06,Spain,Primera_Guerra_Mundial,World War I,2228,"global war originating in Europe, 1914–1918",guerra mundial,politics
2023-02-06,Spain,Black_Panther:_Wakanda_Forever,Black Panther: Wakanda Forever,1618,2022 film directed by Ryan Coogler,película,movies
2023-02-06,Spain,Ucrania,Ukraine,1465,country in Eastern Europe,estado soberano,science
2023-02-06,Spain,Terremoto_de_Haití_de_2010,2010 Haiti earthquake,1148,12 January 2010 magnitude 7.0 Mw earthquake,terremoto,sports
2023-02-06,Spain,Antakya,Antakya,1000,"district and city in Hatay, Turkey",gran ciudad,culture
2023-02-06,Spain,Elecciones_seccionales_de_Ecuador_de_2023,2023 Ecuadorian local elections,968,No description found,elección,science
2023-02-06,Spain,Babylon_(película_de_2022),Babylon,919,2022 film directed by Damien Chazelle,película,movies
2023-02-06,Spain,Relatos_salvajes,Wild Tales,904,2014 anthology film by Damián Szifron,película,movies
2023-02-06,Spain,WhatsApp,No label found,835,Meta Platforms-owned mobile instant messenger and social media service,servicio en línea,culture
2023-02-06,Spain,Francia,France,832,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)",estado soberano,movies
2023-02-06,Spain,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,823,European association football tournament,copa internacional de clubes de fútbol,sports
2023-02-06,Spain,Elecciones_generales_de_España,Spanish general election,769,No description found,tipo de elección,science
2023-02-06,Spain,Sociedad_Anónima,S.A.,749,type of corporation in countries that mostly employ civil law,tipo de entidad empresarial,politics
2023-02-06,Spain,Adhesión_de_Turquía_a_la_Unión_Europea,accession of Turkey to the European Union,736,ongoing accession process of Turkey to the European Union,adhesión de un país a la Unión Europea,politics
2023-02-06,Spain,Angola,Angola,722,country on the west coast of Southern Africa,estado soberano,culture
2023-02-06,Spain,Real_Academia_Española,Royal Spanish Academy,693,official regulator for the Spanish language,regulador del idioma,education
2023-02-06,Spain,Argentina,Argentina,660,country in South America,estado soberano,science
2023-02-06,Spain,Bosnia_y_Herzegovina,Bosnia and Herzegovina,629,country in Southeast Europe,estado soberano,science
2023-02-06,Spain,Irlanda,Ireland,609,country in Northwestern Europe,estado soberano,culture
2023-02-06,Spain,Enrique_y_Ana,Enrique y Ana,605,Spanish children's musical duo,grupo musical,culture
2023-02-06,Taiwan,Asesinato_de_Fernando_Báez_Sosa,murder of Fernando Báez Sosa,216,Criminal case in Argentina,caso criminal,science
2023-02-06,United States,Turquía,Turkey,8173,country in West Asia and Southeast Europe,estado soberano,science
2023-02-06,United States,Caracol_Internacional,Caracol Internacional,5441,television channel,canal de televisión temático,politics
2023-02-06,United States,Estado,state,4105,"organised community living under a system of government; either a sovereign state, constituent state, or federated state",tipo de división administrativa,politics
2023-02-06,United States,Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2023,2023 South American U-20,2821,international football competition,competición,sports
2023-02-06,United States,Geografía_de_Turquía,geography of Turkey,2556,Geographical Features of Turkey,geografía de una localización geográfica,sports
2023-02-06,United States,Premier_League,Premier League,1459,English men's association top football league,liga de fútbol,sports
2023-02-06,United States,España,Spain,1350,country in southwestern Europe with territories in Africa,estado soberano,culture
2023-02-06,United States,The_Last_Of_Us_(serie_de_televisión),The Last of Us,1244,2023 American TV series based on the video game The Last of Us,serie de televisión,movies
2023-02-06,United States,Falla_de_San_Andrés,San Andreas Fault,1016,geological fault,Falla transformante,science
2023-02-06,United States,Liga_de_Campeones_de_la_UEFA,UEFA Champions League,915,European association football tournament,copa internacional de clubes de fútbol,sports
2023-02-06,United States,Primera_Guerra_Mundial,World War I,789,"global war originating in Europe, 1914–1918",guerra mundial,politics
2023-02-06,United States,El_Salvador,El Salvador,628,sovereign state in Central America,estado soberano,politics
2023-02-06,United States,A,A/a,606,1st letter of the basic Latin alphabet,letra latina,sports
2023-02-06,United States,Escala_sismológica_de_Richter,Richter scale,596,"measuring the strength (""size"") of earthquakes",escala sismológica de magnitud de momento,science
2023-02-06,United States,Zodiaco,zodiac,584,twelve signs representing sectors of sky,conjunto,culture
2023-02-06,United States,Nottingham_Forest_Football_Club,Nottingham Forest F.C.,583,"association football club in West Bridgford, England",club de fútbol,sports
2023-02-06,United States,Balón_de_Oro,Ballon d'Or,566,annual association football award,premio deportivo,sports
2023-02-06,United States,Perú,Peru,541,sovereign state in South America,estado soberano,politics
2023-02-06,United States,Clásico_Mundial_de_Béisbol,World Baseball Classic,492,international baseball tournament,torneo,sports
2023-02-06,United States,Aries_(astrología),Aries,476,first astrological sign in the present zodiac,Q131024057,science
2023-02-06,Uruguay,Asesinato_de_Fernando_Báez_Sosa,murder of Fernando Báez Sosa,2465,Criminal case in Argentina,caso criminal,science
2023-02-06,Uruguay,Turquía,Turkey,710,country in West Asia and Southeast Europe,estado soberano,science
2023-02-06,Uruguay,Dexary,Dexary,384,Uruguayan television channel,canal de televisión temático,culture
2023-02-06,Uruguay,Grêmio_Foot-Ball_Porto_Alegrense,Grêmio FBPA,272,Brazilian professional football club based in Porto Alegre,club de fútbol,sports
2023-02-06,Uruguay,Matrículas_automovilísticas_de_Uruguay,Vehicle registration plates of Uruguay,203,Uruguay vehicle license plates,matrícula,sports
2023-02-06,Uruguay,Escala_sismológica_de_Richter,Richter scale,188,"measuring the strength (""size"") of earthquakes",escala sismológica de magnitud de momento,science
2023-02-06,Uruguay,Melchor_Romero_(La_Plata),Melchor Romero,121,human settlement in Argentina,asentamiento,culture
2023-02-06,Uruguay,Selección_de_fútbol_sub-20_de_Paraguay,Paraguay national under-20 football team,121,national association football team,selección de fútbol,sports
2023-02-06,Uruguay,Punta_del_Este,Punta del Este,113,"City in Maldonado, Uruguay",ciudad,culture
